Date,Open,High,Low,Close ,Adj Close ,Volume
2-Mar-20,165.31,172.92,162.31,172.79,166.05,"71,030,800"
28-Feb-20,152.41,163.71,152,162.01,155.69,"97,012,700"
27-Feb-20,163.32,167.03,157.98,158.18,152.01,"93,174,900"
26-Feb-20,169.71,173.26,168.21,170.17,163.54,"56,206,100"
25-Feb-20,174.2,174.84,167.65,168.07,161.52,"68,073,300"
24-Feb-20,167.77,174.55,163.23,170.89,164.23,"68,311,100"
21-Feb-20,183.17,183.5,177.25,178.59,171.63,"48,572,600"
20-Feb-20,186.95,187.25,181.1,184.42,177.23,"36,862,400"
19-Feb-20,0.51 Dividend,,,,,
19-Feb-20,188.06,188.18,186.47,187.28,179.98,"29,997,500"
18-Feb-20,185.61,187.7,185.5,187.23,179.44,"27,792,200"
14-Feb-20,183.25,185.41,182.65,185.35,177.64,"23,149,500"
13-Feb-20,183.08,186.23,182.87,183.71,176.07,"35,295,800"
12-Feb-20,185.58,185.85,181.85,184.71,177.03,"47,062,900"
11-Feb-20,190.65,190.7,183.5,184.44,176.77,"53,159,900"
10-Feb-20,183.58,188.84,183.25,188.7,180.85,"35,844,300"
7-Feb-20,182.85,185.63,182.48,183.89,176.24,"33,529,100"
6-Feb-20,180.97,183.82,180.06,183.63,175.99,"27,751,400"
5-Feb-20,184.03,184.2,178.41,179.9,172.42,"39,186,300"
4-Feb-20,177.14,180.64,176.31,180.12,172.63,"36,433,300"
3-Feb-20,170.43,174.5,170.4,174.38,167.13,"30,107,000"
31-Jan-20,172.21,172.4,169.58,170.23,163.15,"36,142,700"
30-Jan-20,174.05,174.05,170.79,172.78,165.59,"51,597,500"
29-Jan-20,167.84,168.75,165.69,168.04,161.05,"34,754,500"
28-Jan-20,163.78,165.76,163.07,165.46,158.58,"24,899,900"
27-Jan-20,161.15,163.38,160.2,162.28,155.53,"32,078,100"
24-Jan-20,167.51,167.53,164.45,165.04,158.17,"24,918,100"
23-Jan-20,166.19,166.8,165.27,166.72,159.78,"19,680,800"
22-Jan-20,167.4,167.49,165.68,165.7,158.81,"24,138,800"
21-Jan-20,166.68,168.19,166.43,166.5,159.57,"29,517,200"
17-Jan-20,167.42,167.47,165.43,167.1,160.15,"34,371,700"
16-Jan-20,164.35,166.24,164.03,166.17,159.26,"23,865,400"
15-Jan-20,162.62,163.94,162.57,163.18,156.39,"21,417,900"
14-Jan-20,163.39,163.6,161.72,162.13,155.39,"23,477,400"
13-Jan-20,161.76,163.31,161.26,163.28,156.49,"21,626,500"
10-Jan-20,162.82,163.22,161.18,161.34,154.63,"20,725,900"
9-Jan-20,161.84,162.22,161.03,162.09,155.35,"21,385,000"
8-Jan-20,158.93,160.8,157.95,160.09,153.43,"27,746,500"
7-Jan-20,159.32,159.67,157.32,157.58,151.02,"21,634,100"
6-Jan-20,157.08,159.1,156.51,159.03,152.41,"20,813,700"
3-Jan-20,158.32,159.95,158.06,158.62,152.02,"21,116,200"
2-Jan-20,158.78,160.73,158.33,160.62,153.94,"22,622,100"
31-Dec-19,156.77,157.77,156.45,157.7,151.14,"18,369,400"
30-Dec-19,158.99,159.02,156.73,157.59,151.03,"16,348,400"
27-Dec-19,159.45,159.55,158.22,158.96,152.35,"18,412,800"
26-Dec-19,157.56,158.73,157.4,158.67,152.07,"14,520,600"
24-Dec-19,157.48,157.71,157.12,157.38,150.83,"8,989,200"
23-Dec-19,158.12,158.12,157.27,157.41,150.86,"17,718,200"
20-Dec-19,157.35,158.49,156.29,157.41,150.86,"53,477,500"
19-Dec-19,154,155.77,153.75,155.71,149.23,"24,958,900"
18-Dec-19,154.3,155.48,154.18,154.37,147.95,"24,129,200"
